blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
31.0,246.0,13.0,81.0,235,23.0,48.0,517.0,29.0,350,red,NA1_4051331759
85.0,102.0,20.0,21.0,432,54.0,64.0,134.0,202.0,43,red,NA1_4061278713
11.0,254.0,103.0,81.0,43,8.0,120.0,711.0,22.0,117,blue,NA1_4053835098
92.0,32.0,246.0,29.0,16,78.0,104.0,55.0,147.0,37,red,NA1_4051445555
62.0,154.0,101.0,15.0,32,164.0,876.0,238.0,67.0,25,red,NA1_4060854540
82.0,104.0,105.0,18.0,111,875.0,245.0,131.0,21.0,32,red,NA1_4057967626
8.0,59.0,54.0,18.0,117,517.0,141.0,133.0,81.0,350,blue,NA1_4061171674
164.0,20.0,238.0,147.0,350,126.0,876.0,23.0,119.0,526,red,NA1_4053957818
711.0,5.0,54.0,81.0,40,20.0,421.0,517.0,21.0,37,red,NA1_4059316006
3.0,421.0,54.0,18.0,43,8.0,20.0,23.0,202.0,26,red,NA1_4056215620
114.0,245.0,777.0,119.0,80,266.0,104.0,84.0,81.0,43,blue,NA1_4051881897
8.0,59.0,238.0,51.0,412,266.0,64.0,7.0,119.0,432,blue,NA1_4054905346
164.0,59.0,3.0,236.0,99,39.0,91.0,711.0,145.0,32,red,NA1_4055763091
6.0,104.0,8.0,21.0,37,875.0,121.0,105.0,81.0,235,blue,NA1_4051951515
164.0,78.0,45.0,81.0,16,240.0,59.0,50.0,21.0,37,red,NA1_4054918879
98.0,30.0,266.0,81.0,40,875.0,102.0,238.0,236.0,53,red,NA1_4058355237
266.0,78.0,147.0,21.0,32,114.0,9.0,105.0,119.0,267,red,NA1_4050669323
39.0,104.0,23.0,115.0,32,85.0,91.0,157.0,222.0,111,red,NA1_4060469534
223.0,163.0,55.0,119.0,412,86.0,141.0,3.0,236.0,267,blue,NA1_4054974293
114.0,104.0,245.0,81.0,154,54.0,121.0,517.0,145.0,53,red,NA1_4058217872
98.0,141.0,245.0,236.0,40,164.0,121.0,4.0,147.0,37,red,NA1_4054551716
114.0,203.0,166.0,115.0,555,875.0,64.0,517.0,236.0,497,blue,NA1_4055865775
164.0,121.0,134.0,222.0,711,6.0,245.0,203.0,81.0,154,red,NA1_4058702360
58.0,2.0,517.0,236.0,32,31.0,64.0,38.0,21.0,25,red,NA1_4051108183
875.0,20.0,39.0,236.0,12,164.0,35.0,777.0,145.0,32,red,NA1_4059131509
875.0,421.0,7.0,119.0,32,223.0,154.0,711.0,51.0,235,blue,NA1_4053884154
875.0,9.0,13.0,145.0,53,98.0,59.0,61.0,119.0,89,red,NA1_4052847981
875.0,48.0,7.0,236.0,101,14.0,120.0,8.0,21.0,63,red,NA1_4060691489
68.0,107.0,246.0,115.0,43,164.0,64.0,34.0,360.0,89,blue,NA1_4055874379
78.0,876.0,711.0,202.0,432,107.0,121.0,134.0,115.0,412,blue,NA1_4053121582
19.0,30.0,246.0,236.0,350,114.0,28.0,103.0,21.0,53,blue,NA1_4056171583
119.0,141.0,3.0,145.0,53,875.0,203.0,34.0,360.0,111,red,NA1_4050693148
54.0,104.0,101.0,21.0,63,82.0,141.0,7.0,523.0,412,blue,NA1_4060220228
82.0,104.0,711.0,18.0,40,875.0,60.0,166.0,523.0,154,red,NA1_4055838171
164.0,104.0,131.0,15.0,44,223.0,64.0,7.0,51.0,12,blue,NA1_4053018954
114.0,234.0,3.0,115.0,350,875.0,76.0,131.0,29.0,497,red,NA1_4050791930
875.0,64.0,55.0,498.0,16,54.0,887.0,86.0,222.0,30,blue,NA1_4050532126
23.0,234.0,4.0,145.0,53,78.0,131.0,39.0,81.0,25,red,NA1_4057546661
223.0,234.0,711.0,498.0,432,6.0,104.0,777.0,21.0,143,blue,NA1_4053197696
24.0,121.0,38.0,119.0,111,36.0,64.0,134.0,21.0,350,blue,NA1_4050717017
875.0,11.0,115.0,119.0,32,67.0,421.0,3.0,21.0,25,red,NA1_4053844440
18.0,82.0,101.0,51.0,147,75.0,234.0,105.0,236.0,25,blue,NA1_4052741972
48.0,91.0,245.0,51.0,111,223.0,421.0,711.0,145.0,117,red,NA1_4053766744
122.0,91.0,711.0,202.0,111,266.0,234.0,101.0,51.0,555,red,NA1_4060641148
