blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
517.0,876.0,777.0,202.0,555,23.0,154.0,105.0,236.0,111,blue,NA1_4058107225
98.0,104.0,3.0,147.0,37,240.0,777.0,55.0,145.0,350,blue,NA1_4053230955
887.0,154.0,166.0,236.0,32,875.0,121.0,104.0,711.0,50,red,NA1_4058067016
43.0,234.0,103.0,29.0,555,24.0,163.0,84.0,81.0,235,blue,NA1_4055991158
6.0,163.0,166.0,81.0,350,142.0,91.0,157.0,222.0,37,red,NA1_4054776483
164.0,64.0,142.0,21.0,111,875.0,154.0,96.0,81.0,37,blue,NA1_4054328459
41.0,30.0,23.0,81.0,16,54.0,163.0,777.0,119.0,161,blue,NA1_4059487559
85.0,91.0,3.0,360.0,412,240.0,131.0,112.0,236.0,235,red,NA1_4056701819
78.0,28.0,777.0,51.0,201,54.0,245.0,23.0,21.0,111,red,NA1_4058557811
62.0,203.0,55.0,119.0,12,875.0,104.0,127.0,21.0,48,blue,NA1_4057597756
54.0,107.0,268.0,21.0,16,164.0,11.0,61.0,81.0,432,blue,NA1_4057678455
122.0,5.0,34.0,202.0,63,64.0,245.0,23.0,22.0,143,red,NA1_4057861308
82.0,245.0,142.0,236.0,350,85.0,91.0,26.0,21.0,89,red,NA1_4053245274
240.0,421.0,61.0,81.0,16,23.0,32.0,103.0,51.0,432,blue,NA1_4052525521
39.0,64.0,238.0,51.0,74,164.0,245.0,80.0,523.0,53,red,NA1_4059022237
164.0,64.0,39.0,30.0,16,85.0,203.0,134.0,145.0,154,red,NA1_4061150123
17.0,59.0,34.0,202.0,32,6.0,120.0,518.0,81.0,163,red,NA1_4053036771
164.0,245.0,105.0,498.0,497,98.0,421.0,84.0,21.0,37,red,NA1_4059919488
34.0,238.0,24.0,236.0,43,85.0,876.0,875.0,67.0,117,red,NA1_4059454646
240.0,76.0,3.0,51.0,43,54.0,102.0,161.0,523.0,32,blue,NA1_4050253329
114.0,5.0,711.0,18.0,16,875.0,104.0,518.0,67.0,89,red,NA1_4050537791
