blue top,blue jungle,blue mid,blue adc,blue sup,red top,red jungle,red mid,red adc,red sup,match result,match id
54.0,876.0,875.0,15.0,432,39.0,120.0,127.0,222.0,89,red,NA1_4050824677
166.0,203.0,4.0,236.0,432,54.0,254.0,103.0,119.0,267,red,NA1_4056073859
266.0,131.0,142.0,523.0,16,234.0,64.0,34.0,18.0,53,blue,NA1_4053810513
113.0,876.0,238.0,110.0,101,24.0,163.0,142.0,145.0,48,red,NA1_4058105442
68.0,107.0,7.0,523.0,32,98.0,2.0,711.0,67.0,350,blue,NA1_4055267012
164.0,234.0,4.0,145.0,526,54.0,68.0,3.0,498.0,89,blue,NA1_4053318355
875.0,254.0,517.0,119.0,12,85.0,121.0,96.0,360.0,80,blue,NA1_4053952180
24.0,59.0,105.0,18.0,12,164.0,28.0,157.0,81.0,350,red,NA1_4052846970
92.0,104.0,245.0,523.0,497,114.0,238.0,711.0,134.0,53,red,NA1_4056685413
62.0,163.0,7.0,21.0,555,19.0,9.0,238.0,202.0,43,red,NA1_4052420722
164.0,11.0,777.0,711.0,43,6.0,234.0,61.0,119.0,16,red,NA1_4055834390
6.0,104.0,518.0,67.0,37,84.0,59.0,1.0,21.0,43,blue,NA1_4060595485
122.0,104.0,777.0,145.0,57,164.0,76.0,38.0,51.0,111,blue,NA1_4060008018
164.0,163.0,85.0,202.0,53,157.0,238.0,1.0,236.0,267,blue,NA1_4060973606
104.0,20.0,136.0,15.0,350,887.0,91.0,166.0,96.0,43,blue,NA1_4058771911
126.0,154.0,166.0,236.0,32,114.0,30.0,85.0,51.0,267,blue,NA1_4059065957
17.0,59.0,777.0,236.0,267,114.0,91.0,105.0,67.0,26,red,NA1_4057504727
92.0,14.0,711.0,235.0,43,777.0,876.0,555.0,523.0,89,red,NA1_4058176189
240.0,59.0,103.0,67.0,117,875.0,163.0,90.0,18.0,412,red,NA1_4056828466
14.0,203.0,41.0,115.0,43,74.0,104.0,101.0,119.0,32,red,NA1_4050491816
83.0,44.0,777.0,51.0,25,114.0,28.0,246.0,18.0,432,red,NA1_4061110997
92.0,141.0,38.0,236.0,267,122.0,5.0,101.0,50.0,40,red,NA1_4051883300
164.0,5.0,4.0,67.0,48,39.0,64.0,1.0,157.0,526,blue,NA1_4051204607
875.0,203.0,517.0,360.0,111,67.0,254.0,711.0,15.0,32,blue,NA1_4051274247
266.0,60.0,157.0,81.0,26,67.0,245.0,777.0,21.0,147,blue,NA1_4050691109
62.0,203.0,85.0,18.0,117,39.0,91.0,68.0,81.0,555,red,NA1_4053653918
164.0,48.0,101.0,222.0,267,122.0,104.0,69.0,22.0,163,blue,NA1_4053728420
39.0,5.0,61.0,523.0,26,19.0,2.0,127.0,67.0,78,blue,NA1_4050275779
126.0,20.0,142.0,157.0,53,54.0,59.0,75.0,498.0,497,red,NA1_4057116895
54.0,104.0,20.0,51.0,26,17.0,141.0,711.0,523.0,412,blue,NA1_4057485281
98.0,421.0,13.0,51.0,117,164.0,245.0,69.0,236.0,267,red,NA1_4056791000
42.0,121.0,64.0,222.0,147,266.0,30.0,23.0,21.0,32,red,NA1_4058357034
68.0,203.0,1.0,222.0,412,777.0,35.0,134.0,67.0,147,red,NA1_4050691917
92.0,121.0,91.0,30.0,40,875.0,246.0,7.0,711.0,89,red,NA1_4056967315
114.0,121.0,245.0,81.0,111,24.0,141.0,161.0,119.0,48,red,NA1_4050656899
86.0,5.0,238.0,202.0,143,24.0,28.0,96.0,81.0,63,blue,NA1_4052810925
14.0,107.0,61.0,222.0,267,164.0,427.0,238.0,115.0,497,blue,NA1_4059477190
164.0,9.0,61.0,119.0,117,126.0,28.0,68.0,21.0,12,blue,NA1_4059494746
164.0,121.0,80.0,30.0,147,711.0,120.0,45.0,81.0,37,red,NA1_4060109018
164.0,876.0,517.0,202.0,16,86.0,254.0,711.0,51.0,412,blue,NA1_4055513766
875.0,245.0,142.0,81.0,40,266.0,68.0,62.0,67.0,147,blue,NA1_4050432390
126.0,64.0,268.0,30.0,111,92.0,234.0,4.0,51.0,412,blue,NA1_4056985384
62.0,121.0,711.0,523.0,267,777.0,131.0,166.0,21.0,143,blue,NA1_4050915939
164.0,120.0,142.0,67.0,25,27.0,20.0,777.0,51.0,16,blue,NA1_4057375907
517.0,121.0,166.0,81.0,350,164.0,245.0,711.0,22.0,16,blue,NA1_4050742457
157.0,60.0,69.0,21.0,57,17.0,30.0,777.0,22.0,117,red,NA1_4051214794
266.0,48.0,75.0,119.0,26,82.0,104.0,55.0,202.0,12,blue,NA1_4055155517
86.0,59.0,104.0,115.0,99,85.0,246.0,84.0,777.0,89,red,NA1_4050581099
164.0,9.0,14.0,222.0,32,122.0,64.0,112.0,21.0,43,red,NA1_4054807848
876.0,245.0,23.0,147.0,37,157.0,59.0,114.0,15.0,101,blue,NA1_4051847395
98.0,876.0,234.0,96.0,117,266.0,30.0,166.0,15.0,235,blue,NA1_4054675293
875.0,104.0,42.0,236.0,16,266.0,121.0,517.0,81.0,412,blue,NA1_4052533118
24.0,64.0,105.0,81.0,350,85.0,234.0,39.0,50.0,111,blue,NA1_4052439245
24.0,238.0,69.0,236.0,25,223.0,59.0,105.0,119.0,98,blue,NA1_4054326532
68.0,5.0,246.0,81.0,235,98.0,30.0,104.0,498.0,37,blue,NA1_4053241599
